;0-100;;;;;;
0: like normal breathing;;;;;;;
"100: impossible"",""NASA-TLX (1-20)";;;;;;;
"1: very low 20: very high"",(1-20),(1-20),(1-20),(1-20),(1-20)";;;;;;;
trajectory;Difficulty;Mental Demand;Physical Demand;Temporal Demand;Performance;Effort;Frustration
1;5;3;2;8;6;4;2
2;4;2;6;8;4;4;1
3;70;10;10;10;17;10;9
4;70;10;11;14;14;12;8
5;70;11;11;14;11;12;8
6;60;12;11;14;11;12;6
7;5;5;4;2;3;7;1
8;60;14;10;13;11;13;9
9;60;14;10;16;11;13;9
10;60;11;7;11;10;10;8
11;58;8;10;9;6;13;4
12;5;2;3;4;3;5;0
13;40;10;6;10;7;9;3
14;55;12;7;12;7;10;4
15;2;1;2;2;1;1;0
